Word,Count
do,5
favorite,5
MIDlet,5
smsPort,4
04:,4
etc.),4
ImageData,4
port,4
file,4
info,4
features,4
given,4
fields,4
RecordStore,4
currentStoreName,4
know,4
interface,4
\"\audio/x-wav"\);\,4
string,4
may,4
foreignRecordId,4
items,4
sending,4
Save,4
now,4
type,4
single,4
super,4
basic,4
events,4
String,4
one,4
parentAlbumName,4
Update,4
Message,4
our,4
nothing,4
when,4
22,4
contains,4
access,4
change,4
imageLabel,4
#else,4
bytes,4
Jun,4
classes,4
retrieve,4
javax.microedition.lcdui.Displayable),4
alert.setTimeout(5000);,4
photoname,4
via,4
more,3
\RMS,\,3
Comments,3
instead,3
view,3
avoid,3
supports,3
corresponding,3
destinationPhoneNumber,3
parent,3
Find,3
users,3
else,3
04,3
//,3
(on,3
table,3
created,3
directly,3
},3
handling,3
field,3
sort,3
I,3
add,3
start,3
(by,3
text,3
additional,3
smsSendPort,3
Screen,3
mobile,3
screen..,3
off,3
cache,3
between,3
displays,3
Check,3
controllers,3
\here,\,3
extends,3
imageInfoTable,3
formType,3
Open,3
MultiMediaData),3
which,3
than,3
smsReceivePort,3
\13,\,3
A,3
time,3
PhotoAlbum,3
loaded,3
using,3
has,3
like,3
messageText,3
over,3
\images,\,3
loading,3
initialize,3
contents,3
instanceof,3
For,3
at,3
platform,3
(metadata),3
demand),3
memory,3
Purpose:,3
messages,3
List,2
Instead,2
postCommand(),2
populate,2
required,2
\it,\,2
Start,2
then,2
whatever,2
\features,\,2
Responsibility,2
#elifdef,2
Application,2
devices,2
player,2
media,2
number,2
reset,2
reuse,2
SCREEN_WIDTH,2
Cancel,2
\BaseController,\,2
recordName,2
gets,2
recordstore,2
get,2
prefixed,2
\ubc.midp.mobilephoto.core.ui.controller.ControllerInterface#handleCommand(javax.microedition.lcdui.Command,\,2
media);,2
Fallback,2
\false,\,2
name),2
etc,2
\mediaList.append(medias[i].getMediaLabel(),\,2
arg0,2
remove,2
such,2
track,2
out,2
ImageAccessor,2
goToPreviousScreen();,2
chain,2
Stores,2
recordID,2
null);,2
unique,2
contention,2
make,2
implement,2
want,2
defaults,2
eventually,2
NewLabelScreen.NEW_ALBUM);,2
Reset,2
otherwise,2
see,2
entry,2
methods,2
\messaging,\,2
\label,\,2
labels,2
creates,2
one*,2
InvalidPhotoAlbumNameException,2
mainly,2
containing,2
clause,2
implemented,2
Cleanup,2
Pass,2
imageData,2
ImagePathNotValidException,2
Albums,2
(Add,2
consistent,2
design,2
meta,2
base,2
Chain,2
Code,2
permanently,2
purpose,2
default_album_name);,2
was,2
provides,2
aren't,2
Size*/,2
31-Mar-2005,2
be:,2
<phoneNum>,2
All,2
password,2
particular,2
viewed,2
Store,2
incoming,2
Command,2
BaseThread,2
Keep,2
Previous,2
Depending,2
controls,2
\Delete"\\,2
naming,2
other,2
Refactor,2
look,2
holds,2
components,2
path,2
direct,2
Order,2
exists,2
think,2
\28,\,2
this:,2
ImageData),2
protocols,2
Hashtable,2
Load,2
convention,2
Due,2
Specific,2
useful,2
\now,\,2
format,2
no,2
\command,\,2
each,2
\this.updateMediaInfo(media,\,2
Use,2
views,2
graphical,2
alert,2
connections,2
model,2
available,2
displayed,2
imageInfo,2
\photos,\,2
active,2
true,2
We,2
To,2
So,2
03),2
network,2
02),2
Re-copy,2
simplify,2
arrays,2
separate,2
NullAlbumDataReference,2
No,2
provide,2
defines,2
Midlet,2
generated,2
Ie,2
listen,2
postCommand,2
numbers,2
/**,2
(Scenario,2
[CD],2
always,2
<recordId>*<foreignRecordId>*<labelName>*<imageLabel>,2
SCREEN_HEIGHT,2
(specified),2
albumName,2
screens,2
template,2
sent,2
size,2
photoName,2
MultiMediaData,2
\getAppProperty("\SMS-Port"\);\,2
HTTP,2
\moment,\,2
referenced,2
How,2
VideoControl,2
smaller,2
false,2
javax.microedition.lcdui.List#deleteAll(),2
(mymedia,2
delimeter,2
Show,2
received,2
(to,2
must,2
listing,2
InvalidImageFormatException,2
MIDP,2
\,\,2
BaseController,2
User,1
beginning,1
creating,1
Prepare,1
pos1,1
dependent,1
simulatePlayVideo,1
\getAlbumData().updateMediaInfo(mymedia,\,1
pos2,1
(e.g,1
Senario,1
MIDI,1
inbound,1
complicating,1
Size*,1
blocking,1
until,1
comment,1
transfer,1
creation,1
option,1
includePhotoAlbum)||,1
delimiters,1
implemented),1
instance,1
problems,1
allow,1
((renamed,1
receiver,1
Verify,1
Insert,1
ubc.midp.mobilephoto.core.comms.BaseMessaging#cleanUpConnections(),1
(ii,1
2005,1
True,1
(i),1
specified,1
variable,1
performs,1
(and,1
constraints,1
Info,1
here,1
Nov,1
Display.getDisplay(midlet).getCurrent());,1
confirm,1
photoController,1
sends,1
Favorite,1
reads,1
question,1
\"\audio/mpeg"\);\,1
'back',1
implementing,1
(At,1
newData,1
RecordStoreFullException,1
(includePhotoAlbum,1
throw,1
\array,\,1
handleCommand(),1
confirmation,1
\this.getMediaInfo("\Frogs"\);\,1
MediaData,1
AlertType.ERROR);,1
Each,1
12-Apr-2005,1
'Foreign',1
Data,1
From,1
What,1
handlers,1
\classes,\,1
(only,1
\"\/images/frogs.mp3"\,\,1
save,1
depending,1
mpa-,1
point,1
\null,\,1
most,1
Create,1
identifier,1
flow,1
null;,1
loads,1
Alert,1
\ensure,\,1
\"\Name"\\,1
Transfer,1
mmedi);,1
work..,1
hardware,1
08:,1
object),1
AlbumListScreen),1
success,1
general,1
\object,\,1
after,1
Called,1
upload,1
\"\/images/cabeza.mid"\,\,1
\"\No\,1
1);,1
musicName,1
Our,1
capturePhoto),1
||captureVideo,1
1.0,1
'file,1
May,1
InvalidArrayFormatException,1
purposes,1
'foreign',1
update,1
ImageList,1
pre-processor,1
selectCommand,1
updates,1
132,1
(PersistenceMechanismException,1
video,1
Strip,1
well,1
form,1
Every,1
pattern,1
extend,1
block,1
(ii),1
were,1
advice,1
\Infrared,\,1
Just,1
RecordStoreException,1
(medias[i].isFavorite()),1
They,1
been,1
2);,1
6-Apr-2005,1
shows,1
midi,1
\26,\,1
\byte[],\,1
proceed,1
returns,1
future,1
(from,1
visual,1
pre-fix,1
through,1
(info),1
Sorts,1
part,1
merge,1
last,1
pair,1
fetch,1
Label,1
trying,1
handles,1
MVC,1
RecordStoreNotFoundException,1
convert,1
\handleCommand,\,1
\pattern,\,1
rs.getRecord(recordId);,1
previously,1
uses,1
Clear,1
actual,1
\Command.ITEM,\,1
value,1
Text,1
ubc.midp.mobilephoto.core.comms.BaseMessaging#sendImage(byte[]),1
album(s),1
catch,1
\this.getMediaInfo("\Tango"\);\,1
Input,1
forward,1
Track,1
exitCommand,1
(Short,1
sub-Controllers,1
deletes,1
key',1
delimiter,1
extra,1
message's,1
\implementation,\,1
utility,1
Read,1
above,1
storeName,1
Controller,1
commented,1
Notes**,1
there,1
replicating,1
upon,1
transported,1
their,1
Gail,1
Preferences,1
two,1
getAlbumData().deleteAlbum(ScreenSingleton.getInstance().getCurrentStoreName());,1
try,1
\Command.STOP,\,1
top,1
too,1
to:,1
\to,\,1
\System.out.println("\<*\,1
structure,1
recPort,1
Most,1
multiple,1
Move,1
ever,1
de-coupled,1
Note:,1
sms,1
cancel,1
Edit,1
'wrapper',1
problem,1
\messages,\,1
runs,1
Number,1
Take,1
Same,1
\yes,\,1
perform,1
getImage,1
(name),1
include,1
(bytes),1
executable,1
port=1000,1
conversions,1
listening,1
ControllerInterface.java,1
Runnable,1
Only,1
javax.microedition.lcdui.Canvas#paint(javax.microedition.lcdui.Graphics),1
location,1
drawing,1
couldn't,1
many,1
notify,1
essentially,1
library),1
easily,1
Thread,1
Change,1
\Command("\Exit"\,\,1
architecture,1
Views,1
Player,1
place,1
ignore,1
\MultiMediaData(mediadata,\,1
\javax.microedition.lcdui.CommandListener#commandAction(javax.microedition.lcdui.Command,\,1
numberOfViews,1
name/model,1
chars,1
bigger,1
old,1
Retrieve,1
non-SMS,1
Messages,1
imgdata,1
Binary,1
calls,1
albumNames,1
ubc.midp.mobilephoto.core.comms.BaseMessaging#receiveImage(),1
photo/message,1
setImage,1
\default_album_name,\,1
reached,1
corresonding,1
results,1
'foreign,1
\no,\,1
content,1
exceptions,1
Re-Copy,1
176;,1
re-creates,1
connectivity,1
mp4,1
Eclipse,1
\"\Yes\,1
retrieved,1
cleanup,1
corner,1
mediaType);,1
follow,1
\"\audio/midi"\);\,1
let,1
stores..,1
statements,1
indexed,1
((AddMediaToAlbum),1
key,1
imageName,1
exist,1
constants,1
second,1
UnavailablePhotoAlbumException,1
Stream,1
149;,1
Motorola,1
currentScreenName),1
(recordstore),1
download,1
MessageConnection,1
need,1
(renamed,1
Required,1
\currentScreenName,\,1
\"\list"\;\,1
\album,\,1
\"\video/mpeg"\);\,1
\addMediaData("\Frogs"\,\,1
destination,1
Prompts,1
jar,1
call,1
done,1
\message,\,1
data1,1
\code,\,1
case,1
does,1
132;,1
bundled,1
\"\mpa-\,1
everything,1
Accept,1
currentStoreName),1
\already,\,1
img,1
successor,1
Service),1
device_screen_176x205,1
target,1
check,1
\"\mpi-\,1
before,1
stored,1
\arrays,\,1
recordStore,1
128;,1
mediaData,1
device_screen_132x176,1
Generally,1
moment,1
\"\The\,1
converts,1
Need,1
\passwordTable.put(albumname,passwd);\,1
\ubc.midp.mobilephoto.core.ui.controller.ControllerInterface#postCommand(javax.microedition.lcdui.Command,\,1
getCurrentScreen()).getItemType());,1
sub-controllers,1
Java,1
\state,\,1
M75,1
Penguin,1
ones),1
lancs.mobilemedia.core.ui.datamodel.MultiMediaData;,1
PhotoList,1
represents,1
elements,1
videoname,1
mpeg4,1
Close,1
belongs,1
Destroy,1
errors..,1
currentMenu,1
(includeSmsFeature,1
prefixes,1
ubc.midp.mobilephoto.core.ui.controller.ControllerInterface#handleCommand(javax.microedition.lcdui.Command),1
weird,1
\display,\,1
what,1
open,1
\alerts,\,1
fix,1
far,1
unstable,1
Exit,1
they've,1
\addVideoData("\Fish"\,\,1
named,1
Select,1
choose,1
Draw,1
we're,1
startup,1
conditionally,1
request,1
Connections,1
wrapper,1
don't,1
\MultiMediaData(mymedia,\,1
Following,1
import,1
Window&gt;Preferences&gt;Java&gt;Code,1
rather,1
allows,1
Delimiter,1
questions,1
system,1
Name,1
stores),1
ones,1
somewhere,1
Shouldn't,1
once,1
API,1
\labels,\,1
hard-coded,1
lancs.mobilemedia.core.ui.controller.ControllerInterface#handleCommand(java.lang.String),1
\"\Error"\,\,1
\"\+ii);\,1
ScreenSingleton,1
\used,\,1
RecordStoreNotOpenException,1
bubble,1
passes,1
passed,1
MusicMediaUtil.getBytesFromMediaInfo(),1
album..,1
abstract,1
\list,\,1
but,1
\album"\,\,1
central,1
exact,1
read,1
\C975,\,1
Window,1
cannot,1
Any,1
SelectMediaController,1
Aug,1
oldData,1
'cache',1
\"\getSelectedImageName()"\\,1
binary,1
without,1
database,1
app,1
MessageListener,1
device_screen_128x149,1
Duke,1
\Again,\,1
But,1
on-demand,1
beyond,1
desired,1
sender,1
left,1
(record,1
View,1
RENAMED,1
Volume,1
non-MobilePhoto,1
wire,1
wireless,1
wish,1
Sort,1
Byte,1
also,1
corresponds,1
this);,1
TODO,1
mmedi;,1
getMediaInfoFromBytes,1
\true,\,1
Can,1
later,1
Commands,1
aspect,1
URL,1
loop,1
this.getClass().getResourceAsStream(name)),1
separating,1
Try,1
\Command("\Open"\,\,1
Jul,1
\purposes,\,1
storing,1
detected,1
byte[],1
select,1
recPhoneNum,1
\identifier,\,1
There,1
communication,1
this.setNextController(smscontroller);,1
implementation,1
button,1
up,1
maximum,1
\Currently,\,1
within,1
reduce,1
\PhotoController(image,\,1
\chain,\,1
PhotoController,1
Alert(,1
Parse,1
Generation&gt;Code,1
re-create,1
ii,1
Send,1
action,1
item,1
necessary,1
being,1
really,1
e),1
Bluetooth,1
\selected,\,1
interrupts),1
Generation,1
stable,1
one-to-one,1
Photo*,1
proprietary,1
Video,1
Return,1
OK,1
\addMediaData("\Tango"\,\,1
JG,1
Should,1
**Device,1
Id,1
phone,1
decided,1
GK,1
Do,1
At,1
C),1
FileConnection,1
singleton,1
Base,1
Fetch,1
running,1
screen:,1
\screen,\,1
imageTable,1
supress,1
relationship,1
navigation,1
v3.0,1
conflict,1
\2,\,1
17,1
11,1
reading,1
Current,1
KDV,1
attempt,1
extension,1
ImageAccessor.resetImageRecordStore,1
\segment,\,1
previous,1
higher,1
included,1
Address,1
canvas,1
..,1
*>,1
(m,1
temp,1
index,1
already,1
\"\;\,1
fully,1
Delim,1
position,1
Yes,1
Purpose,1
control,1
copy,1
\Display.getDisplay(midlet).setCurrent(alert,\,1
v,1
(BaseController),1
clears,1
find,1
execute,1
emulator,1
comments,1
prototype,1
6,1
system',1
\devices,\,1
(favorite),1
Pause,1
\"\\,1
Port,1
